,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,2,3,4,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,7,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,8,4,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,2,8,9,10,4,11,5,6,0,0,0,0,0,0,0,0,0
5,2,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,2,8,12,7,4,13,5,6,0,0,0,0,0,0,0,0,0
7,2,2,8,14,4,15,5,6,0,0,0,0,0,0,0,0,0,0
8,2,16,17,4,13,5,6,0,0,0,0,0,0,0,0,0,0,0
9,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,18,2,8,14,10,7,4,15,13,5,6,0,0,0,0,0,0,0
11,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,18,2,19,4,5,6,0,0,0,0,0,0,0,0,0,0,0,0
13,18,19,20,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2,8,14,10,21,20,7,4,5,6,0,0,0,0,0,0,0,0
15,2,22,17,4,5,6,0,0,0,0,0,0,0,0,0,0,0,0
16,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2,8,14,10,21,7,4,5,6,0,0,0,0,0,0,0,0,0
18,2,17,4,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
19,22,10,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2,8,14,10,21,20,7,4,5,6,0,0,0,0,0,0,0,0
21,22,8,10,23,5,6,0,0,0,0,0,0,0,0,0,0,0,0
22,2,16,17,14,20,4,5,6,0,0,0,0,0,0,0,0,0,0
23,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2,8,24,17,14,10,23,21,20,7,4,15,25,5,6,0,0,0
25,2,22,8,24,17,14,23,21,20,7,4,25,5,6,0,0,0,0
26,2,8,14,26,10,23,21,20,7,4,25,27,5,6,0,0,0,0
27,2,2,8,17,14,26,10,23,21,20,7,4,5,6,0,0,0,0
28,2,2,14,23,21,20,4,5,6,0,0,0,0,0,0,0,0,0
29,2,2,8,17,14,26,23,21,20,7,4,25,28,5,6,0,0,0
30,2,2,8,14,29,23,21,20,4,5,6,0,0,0,0,0,0,0
31,2,2,8,17,14,29,23,21,20,7,4,28,5,6,0,0,0,0
32,2,2,22,8,24,17,14,26,29,21,20,20,4,25,30,5,6,0
33,2,2,31,8,17,14,10,29,23,21,20,7,4,28,5,6,0,0
34,2,26,10,21,25,5,6,0,0,0,0,0,0,0,0,0,0,0
35,2,2,22,8,17,14,23,21,20,4,30,5,6,0,0,0,0,0
36,2,2,31,8,17,14,26,23,21,20,7,4,25,28,5,6,0,0
37,29,21,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2,22,8,17,14,10,29,23,21,4,30,5,6,0,0,0,0,0
39,2,31,8,17,14,26,10,29,23,21,7,4,25,28,5,6,0,0
40,2,22,8,14,10,29,23,21,4,30,5,6,0,0,0,0,0,0
41,2,31,8,14,26,10,29,23,21,7,4,25,28,5,6,0,0,0
42,2,22,8,14,10,29,23,21,4,5,6,0,0,0,0,0,0,0
43,2,31,8,14,26,29,23,21,7,4,15,25,28,5,6,0,0,0
44,2,22,8,14,29,23,21,4,5,6,0,0,0,0,0,0,0,0
45,2,31,8,14,26,29,23,21,7,4,25,28,5,6,0,0,0,0
46,2,22,8,14,32,29,23,21,4,5,6,0,0,0,0,0,0,0
47,2,31,8,14,26,29,23,21,7,4,25,28,5,6,0,0,0,0
48,2,22,8,14,32,29,23,21,4,5,6,0,0,0,0,0,0,0
49,2,31,8,14,26,10,29,23,21,7,4,25,28,5,6,0,0,0
50,2,22,8,14,10,32,29,23,21,33,4,5,6,0,0,0,0,0
51,2,31,26,23,21,4,5,6,0,0,0,0,0,0,0,0,0,0
52,2,22,8,14,10,32,29,23,21,7,4,25,28,5,6,0,0,0
53,2,31,8,14,26,34,29,23,21,7,4,25,28,5,6,0,0,0
54,2,22,10,32,23,21,4,5,6,0,0,0,0,0,0,0,0,0
55,2,16,31,8,14,26,34,29,23,21,7,4,25,28,5,6,0,0
56,21,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2,22,8,14,32,29,23,21,4,5,6,0,0,0,0,0,0,0
58,2,31,26,23,21,4,5,6,0,0,0,0,0,0,0,0,0,0
59,2,16,22,8,14,32,29,23,19,21,20,4,30,5,6,0,0,0
