,0
0,2.2166667
1,8.45
2,6.516945
3,8.366388
4,8.3336115
5,7.2163887
6,7.566944
7,1.5497222
8,6.066944
9,11.599999
10,1.05
11,5.2830553
12,8.2
13,9.7502775
14,6.0497227
15,6.250278
16,11.35
17,6.399722
18,6.4833336
19,13.933611
20,1.8663888
21,1.7166667
22,4.7669444
23,19.233055
24,0.00027777778
25,24.0
26,39.25
27,8.749722
28,15.866944
29,8.133056
30,12.6669445
31,11.3330555
32,9.816944
33,4.883333
34,9.299723
35,12.500278
36,1.3666667
37,10.133055
38,14.966944
39,9.033055
40,13.983333
41,10.016666
42,13.816944
43,10.183056
44,14.100279
45,9.899722
46,13.716944
47,10.283056
48,14.066944
49,9.933056
50,12.533333
51,11.466667
52,16.383333
53,7.616667
54,13.583333
55,0.6
56,9.816667
57,13.333334
58,10.666667
59,12.800278
60,11.199722
61,12.933332
62,11.066667
63,13.216945
64,10.783055
65,15.766945
66,8.233055
67,12.800278
68,11.199722
69,12.6669445
70,11.3330555
71,12.7502775
72,2.7330556
73,8.516666
74,3.0833335
75,12.866944
76,8.049722
77,2.5002778
78,1.3
79,12.150001
80,8.049722
81,5.5002775
82,18.499722
83,0.00027777778
84,24.0
85,24.0
86,24.0
87,24.0
88,24.0
89,24.0
90,24.0
91,24.0
92,36.833054
93,11.166667
94,12.6669445
95,11.3330555
96,12.500278
97,0.33305556
98,11.166667
99,1.2169445
100,12.01639
101,10.766666
102,0.20027778
103,11.466667
104,1.6333333
105,10.699722
106,0.11694445
107,13.216389
108,9.8336115
109,15.450001
110,9.383055
111,0.46694443
112,12.333334
113,11.199722
114,0.96694446
115,12.76639
116,9.316944
117,13.950001
118,10.416667
119,14.5
120,10.016389
121,12.066945
122,11.9997225
123,0.46694443
124,12.299999
125,11.233055
126,1.4669445
127,10.766389
128,11.766666
129,0.25027776
130,0.10000001
131,12.3330555
132,11.316667
133,0.13333334
134,11.0
135,12.1669445
136,13.933056
137,10.766666
138,0.7833333
139,11.549999
140,11.383612
141,12.633333
142,11.0830555
143,14.1669445
144,10.033055
145,12.4
146,11.9169445
147,12.0830555
148,11.966667
149,1.3002778
150,11.85
151,10.483055
152,11.866944
153,0.23305556
154,11.133612
155,14.066389
156,9.566944
157,0.7166667
158,13.316389
159,10.516945
160,13.950001
161,10.999722
162,0.050277777
163,13.633057
164,10.316667
165,0.083333336
166,12.683611
167,11.233055
168,0.40027776
169,13.15
170,10.35
171,18.1
172,5.15
173,12.766666
174,0.95
175,10.983334
176,12.366667
177,11.783056
178,0.16694444
179,0.0
